",Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi"
"0,Maruti,Vitara BrezzaZDi,2017,Bangalore,75000.0,diesel,manual,691000.0,11767"
"1,Maruti,Vitara BrezzaZDi+ Dual Tone,2018,Bangalore,90000.0,diesel,manual,821000.0000000001,13981"
"2,Mercedes,E-ClassE220d Avantgarde,2018,Bangalore,36500.0,diesel,automatic,3750000.0,64496"
"3,Volkswagen,PoloGT TSI,2016,Bangalore,114000.0,petrol,automatic,596000.0,9515"
"4,Hyundai,Elite i20Asta 1.2,2015,Bangalore,59000.0,petrol,manual,568000.0,10338"
"5,Honda,WR-VVX MT Petrol,2018,Bangalore,25500.0,petrol,manual,658000.0,11205"
"6,Hyundai,VenueSX Plus 1.0 Turbo DCT,2020,Bangalore,43500.0,petrol,automatic,889000.0,15139"
"7,Audi,A635 TDI S LINE Matrix,2019,Bangalore,43500.0,diesel,automatic,2750000.0,47296"
"8,Maruti,BalenoZeta,2020,Bangalore,86500.0,petrol,manual,608000.0,10353"
"9,Jeep,CompassNight Eagle (O) 1.4 Petrol DCT,2022,Bangalore,16000.0,petrol,automatic,1989999.9999999998,34225"
"10,Maruti,SwiftZXI AMT,2021,Bangalore,69500.0,petrol,automatic,673000.0,11460"
"11,Mahindra,XUV 300W8 (O) AMT Petrol,2023,Bangalore,12000.0,petrol,automatic,1141000.0,19622"
"12,Maruti,SwiftZXI AMT,2021,Bangalore,25500.0,petrol,automatic,714000.0,12159"
"13,Maruti,Alto 800Vxi Plus,2020,Bangalore,34500.0,petrol,manual,313000.0,5594"
"14,Maruti,Alto 800Lxi,2015,Bangalore,26000.0,petrol,manual,297000.0,5652"
"15,Kia,SonetGTX Plus 1.0 iMT,2023,Bangalore,29000.0,petrol,manual,1187000.0,20413"
"16,Kia,SeltosGTX Plus DCT,2021,Bangalore,76000.0,petrol,automatic,1321000.0,22719"
"17,Honda,JazzVX Petrol,2015,Bangalore,97000.0,petrol,manual,459000.0,7832"
"18,Hyundai,Elite i20Asta 1.2,2015,Bangalore,24000.0,petrol,manual,555000.0,10102"
"19,Volkswagen,PoloHighline1.2L (P),2012,Bangalore,73000.0,petrol,manual,334000.0,11909"
"20,MG,GlosterSavvy 2.0 Twin Turbo 6 STR 4WD,2021,Bangalore,59000.0,diesel,automatic,3250000.0,55896"
"21,Jeep,CompassSport 1.4 Petrol,2021,Bangalore,28500.0,petrol,manual,1475000.0,25367"
"22,Jeep,CompassLimited (O) 1.4 Petrol DCT,2023,Bangalore,38000.0,petrol,automatic,2350000.0,40416"
"23,Honda,BR-VVX Petrol,2018,Bangalore,115500.0,petrol,manual,797000.0,13572"
"24,Skoda,RapidAmbition 1.6 MPI MT,2016,Bangalore,67000.0,petrol,manual,442000.0,7542"
"25,Audi,Q52.0 TDI quattro Premium,2014,Bangalore,52000.0,diesel,automatic,1830000.0,39665"
"26,Honda,JazzV AT Petrol,2017,Bangalore,117000.0,petrol,automatic,536000.0,8557"
"27,Kia,SonetHTX 1.5,2021,Bangalore,57500.0,diesel,manual,1002000.0,17063"
"28,Maruti,XL6Alpha AT Petrol,2019,Bangalore,51500.0,petrol,automatic,911999.9999999999,15530"
"29,Hyundai,i10Magna 1.2 Petrol,2012,Bangalore,47000.0,petrol,manual,282000.0,10725"
"30,Hyundai,Grand i10 NiosSportz 1.2 Kappa VTVT,2023,Bangalore,25000.0,petrol,manual,677000.0,11528"
"31,Maruti,Alto K10VXI AMT (O),2018,Bangalore,31000.0,petrol,automatic,376000.0,6403"
"32,Hyundai,New Santro 1.1Sportz Executive CNG,2022,Bangalore,53000.0,petrol+cng,manual,580000.0,9259"
"33,Maruti,BalenoZeta 1.2 AT,2017,Bangalore,47500.0,petrol,automatic,641000.0,10915"
"34,Jeep,CompassLimited (O) 1.4 Petrol DCT,2022,Bangalore,52000.0,petrol,automatic,2200000.0,37836"
"35,Maruti,BalenoDelta 1.2 AT,2018,Bangalore,119000.0,petrol,automatic,570000.0,9706"
"36,Maruti,BrezzaZXi Plus,2023,Bangalore,28500.0,petrol,manual,1144000.0,19668"
"37,Maruti,S-PressoVxi Plus,2023,Bangalore,15000.0,petrol,manual,521000.0,8872"
"38,Jeep,CompassLimited (O) 1.4 Petrol DCT,2021,Bangalore,35000.0,petrol,automatic,2100000.0,36116"
"39,Hyundai,New Santro 1.1Asta MT,2018,Bangalore,58000.0,petrol,manual,419000.00000000006,6689"
"40,Hyundai,VenueSX 1.0 (O) Petrol,2019,Bangalore,87000.0,petrol,manual,719000.0,12244"
"41,Maruti,BrezzaZXi AT,2023,Bangalore,18500.0,petrol,automatic,1231000.0,21170"
"42,Mahindra,TharLX Hard Top Petrol MT,2023,Bangalore,16000.0,petrol,manual,1459000.0,25084"
"43,Tata,NanoTwist XT Petrol,2014,Bangalore,65000.0,petrol,manual,165000.0,3319"
"44,Kia,SeltosHTX IVT G,2020,Bangalore,111000.0,petrol,automatic,1131000.0,19450"
"45,Maruti,Alto K10VXi,2015,Bangalore,64000.0,petrol,manual,310000.0,5642"
"46,Mahindra,ScorpioS6,2016,Bangalore,115500.0,diesel,manual,795000.0,13538"
"47,MG,GlosterSavvy 2.0 Twin Turbo 6 STR 4WD,2021,Bangalore,44000.0,diesel,automatic,3150000.0,54176"
"48,Maruti,S-CrossDelta 1.3,2017,Bangalore,13500.0,diesel,manual,689000.0,11733"
"49,Hyundai,Elite i20Asta 1.2,2015,Bangalore,89000.0,petrol,manual,501999.99999999994,9137"
"50,Maruti,CelerioZXi AMT,2015,Bangalore,37000.0,petrol,automatic,397000.0,7226"
"51,Maruti,Wagon R 1.2ZXI,2023,Bangalore,9000.0,petrol,manual,594000.0,10115"
"52,Tata,NexonXZA Plus AMT Diesel,2018,Bangalore,120500.0,diesel,automatic,813000.0000000001,13844"
"53,Renault,KwidRXL,2019,Bangalore,51500.0,petrol,manual,353000.0,6011"
"54,Maruti,Alto K10VXI AMT,2019,Bangalore,32000.0,petrol,automatic,429000.0,7305"
"55,Tata,TiagoRevotron XZ Plus,2023,Bangalore,29500.0,petrol,manual,617000.0,10507"
"56,Hyundai,Grand i10 NiosAsta 1.2 Kappa,2023,Bangalore,16000.0,petrol,manual,768000.0,13078"
"57,Maruti,Vitara BrezzaZDi AGS,2018,Bangalore,76000.0,diesel,automatic,724000.0,12329"
"58,Volkswagen,PoloHighline Plus 1.0 (P) 16 Alloy,2019,Bangalore,114500.0,petrol,manual,629000.0,10042"
"59,Jeep,Compass80 Anniversary 1.4 Petrol DCT,2021,Bangalore,30000.0,petrol,automatic,2075000.0,35686"
"60,Maruti,Alto K10VXi,2018,Bangalore,37000.0,petrol,manual,380000.0,6471"
"61,Maruti,S-CrossZeta 1.3,2016,Bangalore,54500.0,diesel,manual,665000.0,11324"
"62,Mercedes,E-ClassE200 Expression,2018,Bangalore,40000.0,petrol,automatic,3650000.0,62776"
"63,Kia,SeltosGTX Plus DCT,2020,Bangalore,109500.0,petrol,automatic,1280000.0,22013"
"64,Maruti,Alto 800Lxi,2012,Bangalore,60500.0,petrol,manual,220000.00000000003,8533"
"65,Mahindra,XUV 300W8 (O) Petrol,2021,Bangalore,113000.0,petrol,manual,873000.0,14866"
"66,Toyota,GlanzaV AMT,2022,Bangalore,9000.0,petrol,automatic,894999.9999999999,15241"
"67,Ford,EcoSportTitanium + 1.5L TDCi,2018,Bangalore,64500.0,diesel,manual,770000.0,13112"
"68,Tata,SafariXZA Plus,2021,Bangalore,70500.0,diesel,automatic,1723000.0,29631"
"69,Renault,DusterRXS Opt CVT,2019,Bangalore,42500.0,petrol,automatic,745000.0,12686"
"70,Maruti,DzireZXi Plus AMT,2018,Bangalore,37500.0,petrol,automatic,659000.0,11222"
"71,Ford,EndeavourTitanium 2.2 4x2 MT,2019,Bangalore,37000.0,diesel,manual,2600000.0,44716"
"72,Hyundai,Grand i10Asta AT 1.2 Kappa VTVT,2017,Bangalore,92000.0,petrol,automatic,484999.99999999994,8259"
"73,Honda,JazzV Diesel,2016,Bangalore,139000.0,diesel,manual,450000.0,7184"
"74,Maruti,IgnisDelta 1.2 AMT,2018,Bangalore,67500.0,petrol,automatic,480000.0,8174"
"75,Tata,TiagoXTA,2024,Bangalore,8500.0,petrol,automatic,691000.0,11767"
"76,Renault,KwidRXT,2015,Bangalore,72000.0,petrol,manual,265000.0,4823"
"77,Maruti,CelerioZXi Plus,2023,Bangalore,30500.0,petrol,manual,617000.0,10507"
"78,Maruti,Alto 800Lxi,2014,Bangalore,72000.0,petrol,manual,220000.00000000003,4898"
"79,Volkswagen,PoloComfortline 1.2L (P),2012,Bangalore,32500.0,petrol,manual,362000.0,24249"
"80,Kia,CarensLuxury 1.5 Diesel iMT 7 STR,2023,Bangalore,18500.0,diesel,manual,1667000.0000000002,28677"
"81,Maruti,BalenoZeta 1.2,2016,Bangalore,80500.0,petrol,manual,537000.0,9144"
"82,Hyundai,Grand i10Asta 1.2 Kappa VTVT,2015,Bangalore,36000.0,petrol,manual,463000.0,8427"
"83,Renault,Kwid1.0 RXT AMT Opt,2019,Bangalore,82500.0,petrol,automatic,397000.0,6760"
"84,Mahindra,XUV500W9,2019,Bangalore,102500.0,diesel,manual,1163000.0,21000"
"85,Hyundai,Elite i20Magna Executive 1.2 AT,2018,Bangalore,48000.0,petrol,automatic,611000.0,10404"
"86,Maruti,A-StarVxi,2012,Bangalore,46500.0,petrol,manual,206999.99999999997,7380"
"87,Volkswagen,PoloHighline1.2L (P),2016,Bangalore,47500.0,petrol,manual,557000.0,8892"
"88,Tata,NexonXZA Plus Dual Tone Roof AMT Diesel,2019,Bangalore,45500.0,diesel,automatic,819999.9999999999,13964"
"89,Maruti,Alto 800VXi,2022,Bangalore,34500.0,petrol,manual,403000.0,7202"
"90,Maruti,S-CrossDelta 1.3,2016,Bangalore,67000.0,diesel,manual,635000.0,10813"
"91,Hyundai,i20Sportz 1.4 CRDI,2012,Bangalore,52000.0,diesel,manual,323000.0,12284"
"92,Hyundai,Grand i10Magna 1.2 Kappa VTVT,2019,Bangalore,11000.0,petrol,manual,570000.0,9706"
"93,Renault,KwidRXT 1.0 SCE Special,2018,Bangalore,90500.0,petrol,manual,303000.0,5159"
"94,Hyundai,CretaSX(O) 1.6l VTVT Petrol + CNG(Outside Fitted),2019,Bangalore,44000.0,petrol+cng,manual,1058000.0,18195"
"95,Maruti,DzireZXi Plus AGS,2022,Bangalore,25500.0,petrol,automatic,836000.0,14236"
"96,Honda,City1.5 S MT,2011,Bangalore,88500.0,petrol,manual,305000.0,21793"
"97,Hyundai,i10Magna 1.2 Kappa2,2011,Bangalore,93500.0,petrol,manual,266000.0,19006"
"98,Toyota,Urban Cruiser HyryderV Hybrid,2024,Bangalore,9500.0,hybrid,automatic,2077000.0,35721"
"99,Hyundai,VenueSX (O) 1.0 Turbo iMT,2022,Bangalore,38000.0,petrol,manual,1070000.0,18402"
"100,Hyundai,VenueSX 1.2 MT Knight Edition,2022,Bangalore,33500.0,petrol,manual,921000.0000000001,15684"
"101,Maruti,Alto K10VXi,2019,Bangalore,95500.0,petrol,manual,331000.0,5636"
"102,Hyundai,VenueSX 1.2 Petrol,2022,Bangalore,28000.0,petrol,manual,989000.0,16842"
"103,Hyundai,EonMagna + (O) 1.0,2015,Bangalore,106000.0,petrol,manual,299000.0,5102"
"104,Hyundai,Creta1.6 SX AT VTVT,2018,Bangalore,53500.0,petrol,automatic,977999.9999999999,16654"
"105,Nissan,Micra ActiveXV,2014,Bangalore,46500.0,petrol,manual,293000.0,7897"
"106,Maruti,ErtigaVDI SHVS,2016,Bangalore,102500.0,diesel,manual,658000.0,11205"
"107,Hyundai,VenueSX 1.0 Turbo iMT,2022,Bangalore,24500.0,petrol,manual,991000.0,16876"
"108,Hyundai,VenueSX 1.0 (O) Turbo,2020,Bangalore,44000.0,petrol,manual,926000.0,15769"
"109,Hyundai,Grand i10 NiosAsta 1.2 Kappa VTVT CNG,2022,Bangalore,10000.0,cng,manual,800000.0,13623"
"110,Maruti,ErtigaVDi,2012,Bangalore,135500.0,diesel,manual,426999.99999999994,16240"
"111,Maruti,CiazZXI+,2016,Bangalore,92000.0,petrol,manual,548000.0,9332"
"112,Maruti,SwiftZXI AMT,2023,Bangalore,34500.0,petrol,automatic,779000.0,13265"
"113,Tata,NexonXZ Plus LUXS Diesel,2023,Bangalore,57500.0,diesel,manual,1187000.0,20413"
"114,Toyota,Urban Cruiser HyryderV Hybrid,2024,Bangalore,4500.0,hybrid,automatic,2121000.0,36478"
"115,Kia,SonetHTX 1.0 iMT,2021,Bangalore,31000.0,petrol,manual,931000.0,15854"
"116,Maruti,BalenoZeta 1.2,2016,Bangalore,35000.0,petrol,manual,588000.0,10013"
"117,Hyundai,VernaFluidic 1.6 VTVT SX,2014,Bangalore,81500.0,petrol,manual,419000.00000000006,8992"
"118,Kia,SonetGTX Plus 1.5 AT,2021,Bangalore,115500.0,diesel,automatic,1065000.0,18323"
"119,Hyundai,VenueSX (O) 1.0 Turbo iMT,2023,Bangalore,38000.0,petrol,manual,1141000.0,19623"
"120,Hyundai,Creta1.6 SX AT VTVT,2019,Bangalore,46000.0,petrol,automatic,1059000.0,18212"
"121,Toyota,Urban Cruiser HyryderV Neodrive AWD,2022,Bangalore,24500.0,petrol,manual,1551000.0,26668"
"122,Kia,SeltosHTX IVT G,2022,Bangalore,41000.0,petrol,automatic,1441000.0,24782"
"123,Renault,TriberRXT,2023,Bangalore,55500.0,petrol,manual,640000.0,10898"
